Epoch	train_ce_loss	val_ce_loss	train_accuracy	val_accuracy	learning_rate
0	22160.96414	3121.867578	4.847272727	4.26	0.001
1	34303.9012	4345.48969	3.923636364	6.3	0.001
2	47768.09163	5028.552628	6.287272727	16.54	0.001
3	55398.57135	4425.366392	16.33636364	32.94	0.001
4	48972.2856	3589.585607	31.90363636	47	0.001
5	39941.1912	3197.471906	45.75636364	55.04	0.001
6	35657.5379	2787.476668	53.97090909	57.88	0.001
7	31321.55104	2957.527484	56.42363636	57.68	0.001
8	33029.64279	2986.977564	56.45090909	60.16	0.001
9	33551.47756	2614.154113	59.13454545	60.14	0.001
10	29311.45429	2970.290641	58.85818182	62.42	0.001
11	33304.90174	2490.600558	61.20181818	62.32	0.001
12	27994.54223	2839.557674	60.71090909	63.48	0.001
13	31907.31972	2482.275783	62.45272727	63.48	0.001
14	27922.41954	2730.766602	61.99090909	64.4	0.001
15	30745.99788	2419.103393	63.61818182	64.36	0.001
16	27241.61938	2688.404071	62.88727273	65.5	0.001
17	30289.77848	2340.864863	64.6	65.1	0.001
18	26391.14069	2655.128949	63.61090909	66.02	0.001
19	29934.65193	2299.161801	65.49818182	65.92	0.001
20	25942.12115	2611.166016	64.40363636	66.46	0.001
21	29466.56813	2269.142151	66.27272727	66.4	0.001
22	25622.83821	2573.070898	65.10181818	67.2	0.001
23	29063.55289	2237.166068	66.93636364	66.76	0.001
24	25275.52585	2535.737783	65.77454545	67.64	0.001
25	28667.69288	2212.205526	67.55454545	67.44	0.001
26	25006.01695	2498.255625	66.36545455	68.24	0.001
27	28269.00398	2188.517569	68.04	68.04	0.001
28	24748.15157	2459.887422	66.90545455	68.76	0.001
29	27863.87829	2171.58873	68.44545455	68.42	0.001
30	24563.21596	2420.930275	67.35454545	69.12	0.001
31	27453.29446	2145.870386	68.92181818	68.68	0.001
32	24282.74881	2397.012906	67.79090909	69.64	0.001
33	27200.18965	2115.676456	69.30181818	69.24	0.001
34	23957.93806	2376.911864	68.12909091	70.04	0.001
35	26985.72494	2091.123672	69.67090909	69.42	0.001
36	23695.55398	2357.238263	68.45090909	70.48	0.001
37	26775.8655	2071.303358	70.04909091	69.66	0.001
38	23484.3373	2337.370144	68.76727273	70.62	0.001
39	26563.155	2055.222408	70.33818182	69.88	0.001
40	23312.8736	2314.301513	69.05272727	71.06	0.001
41	26318.19291	2043.804206	70.63636364	70	0.001
42	23192.69011	2296.710132	69.30909091	71.16	0.001
43	26134.187	2031.912793	70.90181818	70.2	0.001
44	23066.70486	2278.635685	69.55818182	71.38	0.001
45	25943.16096	2020.816764	71.17818182	70.6	0.001
46	22951.71882	2262.574211	69.82363636	71.66	0.001
47	25775.66969	2007.825224	71.40545455	70.8	0.001
48	22816.28302	2246.846238	70.06181818	71.88	0.001
49	25608.99367	1994.395004	71.57818182	71.04	0.001
50	22674.91912	2231.960046	70.27818182	72.02	0.001
51	25451.07954	1980.310662	71.79090909	71.18	0.001
52	22525.79183	2218.948765	70.52363636	72.3	0.001
53	25313.58958	1964.684657	72.02727273	71.32	0.001
54	22360.28469	2204.724952	70.70727273	72.56	0.001
55	25162.67958	1949.580383	72.24727273	71.44	0.001
56	22200.70111	2191.374414	70.90181818	72.92	0.001
57	25021.29776	1935.702799	72.46363636	71.56	0.001
58	22053.69878	2178.436642	71.09636364	73.12	0.001
59	24884.2004	1923.577384	72.64	71.9	0.001
60	21925.90116	2166.872401	71.29454545	73.32	0.001
61	24761.83044	1911.235952	72.83636364	72.12	0.001
62	21796.55823	2155.934629	71.46909091	73.44	0.001
63	24646.29227	1897.621511	73.06363636	72.36	0.001
64	21653.82051	2145.901564	71.64181818	73.72	0.001
65	24539.42719	1883.52032	73.31818182	72.7	0.001
66	21504.84696	2136.700986	71.78545455	73.94	0.001
67	24442.04561	1864.621195	73.54181818	72.94	0.001
68	21303.0134	2123.640707	71.98363636	74.12	0.001
