Epoch	train_ce_loss	val_ce_loss	train_accuracy	val_accuracy	learning_rate
0	16517.51991	1508.92208	11.98	10.16	0.001
1	16594.22675	1520.758611	10.34545455	9.86	0.001
2	16723.15613	1542.597553	10.06181818	9.8	0.001
3	16960.64083	1579.903307	10.01818182	9.8	0.001
4	17366.06074	1638.873921	10.01818182	9.8	0.001
5	18006.86121	1727.531249	10.01818182	9.8	0.001
6	18970.38997	1854.63343	10.01818182	9.8	0.001
7	20352.70073	2036.074946	10.01818182	9.8	0.001
8	22324.52741	2288.981594	10.01818182	9.8	0.001
9	25071.64351	2634.734113	10.01818182	9.8	0.001
10	28824.64543	3097.04451	10.01818182	2.98	0.001
11	33842.51736	3700.458038	3	6.76	0.001
12	40393.58707	4467	6.741818182	8.76	0.001
13	48719.57957	5415.037802	8.625454545	8.16	0.001
14	59022.78265	6229.999803	7.925454545	6.84	0.001
15	67921.13697	6730.359857	6.545454545	9.8	0.001
16	73369.61995	7094.184014	10.01818182	9.8	0.001
17	77328.54865	7396.489325	10.01818182	9.8	0.001
18	80614.961	7638.237565	10.01818182	9.08	0.001
19	83241.33496	7805.141414	10.15818182	9	0.001
20	85050.4701	7872.48912	10.09090909	9	0.001
21	85778.54824	7873.809264	10.09090909	9	0.001
22	85780.16061	7767.699131	10.09090909	9	0.001
23	84611.12919	7544.948098	10.09090909	9	0.001
24	82169.58202	7204.576295	10.09090909	9	0.001
25	78448.9728	6832.938031	10.09090909	9.46	0.001
26	74542.17785	6619.723692	9.463636364	10.42	0.001
27	72202.07857	6317.760077	10.18181818	10.54	0.001
28	68799.66717	6426.901144	9.950909091	10.44	0.001
29	70249.53185	6375.906158	9.96	11.88	0.001
30	69472.78517	6578.057674	11.6	9.34	0.001
31	71659.60639	6041.057488	10.06	9.8	0.001
32	65984.92027	6219.982694	10.01818182	10.18	0.001
33	67809.33538	6065.502183	9.992727273	10.2	0.001
34	66281.24596	6125.041155	9.901818182	10.54	0.001
35	66881.20118	6330.357563	9.950909091	10.06	0.001
36	69120.31507	6312.752171	9.994545455	10.54	0.001
37	68898.52767	6467.391208	9.950909091	10.06	0.001
38	70570.98903	6420.57503	9.994545455	10.54	0.001
39	70026.39917	6614.395082	9.950909091	19.4	0.001
40	72157.05185	6368.493966	20.00727273	10.06	0.001
41	69452.90192	6332.162617	9.994545455	9.34	0.001
42	68820.93919	6394.060601	10.06	10.06	0.001
43	69740.95808	6306.210787	9.994545455	9.34	0.001
44	68550.32329	6464.228624	10.06545455	13.46	0.001
45	70510.54804	6299.983235	12.92181818	18.48	0.001
46	68490.12972	6426.524183	19.22181818	12.86	0.001
47	70106.57816	6062.806143	12.39818182	19.92	0.001
48	65883.98918	6453.072068	19.61272727	19.68	0.001
49	70399.60295	6163.826195	19.21272727	24.26	0.001
50	66988.53325	6502.429829	24.68181818	11.12	0.001
51	70922.48676	6070.2307	10.91818182	19.24	0.001
52	65971.0318	6432.572669	19.92545455	19.62	0.001
53	70154.65168	6089.796484	19.73090909	19.28	0.001
54	66176.79556	6407.369972	19.98181818	20	0.001
55	69870.35953	6014.771262	19.94545455	19.38	0.001
56	65355.76876	6466.426484	20.01272727	27.46	0.001
57	70497.71951	6056.743658	27.91454545	19.34	0.001
58	65786.84594	6111.319884	20.00363636	20.06	0.001
59	66595.31529	6110.837943	20.79090909	19.18	0.001
60	66353.2367	5357.088504	18.97272727	17.84	0.001
61	58111.49794	6240.589475	18.06545455	20	0.001
62	67754.38275	5396.797483	19.56	19.04	0.001
63	58544.48923	5907.124708	19.30909091	19.52	0.001
64	64294.99489	5446.797795	20.01454545	19.86	0.001
65	59057.86721	5592.028128	20.04727273	25.76	0.001
66	61098.24838	5554.774661	24.79090909	22.04	0.001
67	60164.40159	4979.303821	23.66727273	24.1	0.001
68	54366.92765	5769.07364	24.13454545	19.6	0.001
69	62460.66169	4578.149345	20.97272727	22.2	0.001
70	49719.66484	5939.637011	23.89454545	20.62	0.001
71	64301.58862	4301.21732	22.07454545	22.86	0.001
72	46701.94578	6110.721335	24.03636364	23.8	0.001
73	66173.35531	4398.222654	25.29454545	24	0.001
74	47778.85057	5932.665273	25.06727273	18.12	0.001
75	64412.30984	4525.556554	18.71272727	24.82	0.001
76	49158.97586	5664.896009	25.98727273	26.42	0.001
77	61683.37008	4604.374943	26.87818182	30.06	0.001
78	49993.90955	5710.892698	31.38181818	26.84	0.001
79	62185.38188	4591.977536	27.22909091	33.74	0.001
80	49860.23156	5784.25939	34.73090909	27.22	0.001
81	62988.3019	4589.542845	27.66	35.06	0.001
82	49840.07044	5839.474119	35.81454545	27.48	0.001
83	63600.45521	4571.396144	28.01272727	35.92	0.001
84	49659.34536	5914.976909	36.40363636	27.98	0.001
85	64442.08857	4145.091685	28.43090909	26.28	0.001
86	45250.07549	5066.440638	26.48181818	32.4	0.001
87	54761.36284	4172.262803	34.13272727	31.66	0.001
88	45720.56586	4933.918839	31.75454545	36.16	0.001
89	53619.82853	3640.855484	35.20181818	29.3	0.001
90	39674.27242	5218.365907	29.65636364	35.96	0.001
91	56700.22147	3034.035397	35.08545455	31.3	0.001
92	33241.40844	5469.004664	30.42545455	36.12	0.001
93	59429.92132	3166.456201	35.03090909	30.56	0.001
94	34693.67673	5705.667005	29.75818182	35.82	0.001
95	62005.1314	3303.580819	34.76	30.4	0.001
96	36190.11079	5891.952826	29.48727273	35.48	0.001
97	64025.58546	3399.839999	34.40909091	30.08	0.001
98	37240.90148	6135.355228	29.29272727	34.92	0.001
99	66669.22393	3537.115385	34.02545455	29.82	0.001
100	38724.33165	6363.356835	29.14181818	34.48	0.001
101	69134.22157	3682.757468	33.63818182	29.56	0.001
102	40326.15262	6026.888473	28.83636364	23.2	0.001
103	65738.57068	3840.677291	23.1	29.04	0.001
104	42049.74345	5590.433382	28.31272727	30.14	0.001
105	60981.13296	3896.055382	30.05636364	35.1	0.001
106	42484.63807	5702.119741	35.20727273	28.06	0.001
107	62071.49781	4054.605894	28.73636364	34.4	0.001
