Epoch	train_ce_loss	val_ce_loss	train_accuracy	val_accuracy	learning_rate
0	28825.36285	2964.507393	10.24181818	13.64	0.001
1	32809.89632	3410.577039	13.16909091	13.76	0.001
2	37638.09895	3903.667265	13.32363636	19.52	0.001
3	42973.91627	4190.171104	19.32363636	25.1	0.001
4	45986.99592	4349.3443	24.83454545	32.7	0.001
5	47631.61426	4280.444522	32.21090909	39.96	0.001
6	46844.95715	4022.326583	39.64545455	46.32	0.001
7	44023.54683	3726.547479	45.68727273	50.78	0.001
8	40801.20369	3545.438924	50.23272727	53.4	0.001
9	38861.84813	3294.982475	52.66727273	57.94	0.001
10	36165.40452	3470.636201	57.18545455	54	0.001
11	38120.39144	2934.265281	53.28363636	60.94	0.001
12	32289.7031	3506.111581	60.11636364	56.46	0.001
13	38564.11759	2728.778145	55.78545455	63.14	0.001
14	30124.26392	3471.954889	62.24363636	58.88	0.001
15	38226.85454	2629.294845	58.05818182	64.22	0.001
16	29071.12004	3447.094129	63.63090909	60.74	0.001
17	37989.84324	2569.015028	60.30727273	65.58	0.001
18	28436.90565	3445.447765	64.82363636	62.46	0.001
19	37996.95116	2524.566027	62.10727273	66.76	0.001
20	27969.65352	3448.107303	65.86181818	63.66	0.001
21	38054.56741	2473.586234	63.43818182	67.64	0.001
22	27428.18499	3433.301785	66.7	65.1	0.001
23	37931.85646	2427.985402	64.50181818	68.52	0.001
24	26939.99376	3426.025771	67.56545455	66.08	0.001
25	37899.67584	2412.227525	65.2	69.06	0.001
26	26750.83928	3324.072215	67.99636364	66.02	0.001
27	36843.97805	2352.2537	65.36363636	69.14	0.001
28	26107.87548	3286.444255	68.26727273	65.64	0.001
29	36443.27261	2264.090047	65.3	69.4	0.001
30	25118.01278	3313.980837	68.57090909	65.92	0.001
31	36791.80847	2171.404363	65.67818182	70.58	0.001
32	24110.73482	3400.55281	69.27636364	66.68	0.001
33	37747.13923	2161.615571	66.04181818	70.34	0.001
34	24014.08685	3341.976977	69.70545455	66.62	0.001
35	37098.88889	2137.097102	66.17454545	70.44	0.001
36	23741.70857	3276.793431	69.88545455	66.96	0.001
37	36394.01141	2107.147501	66.53818182	70.68	0.001
38	23406.2916	3262.86633	70.23818182	67.02	0.001
39	36247.09135	2053.422634	66.84727273	71.54	0.001
40	22826.90078	3322.337099	70.75454545	67.2	0.001
41	36869.71371	2038.911789	66.97818182	71.52	0.001
42	22657.03707	3272.274151	70.98	67.2	0.001
43	36303.92054	2010.555134	67.23090909	71.94	0.001
44	22356.28925	3247.375197	71.42727273	67.48	0.001
45	36047.39717	1974.252566	67.40363636	72.46	0.001
46	21960.07303	3288.754249	71.76	67.54	0.001
47	36490.8396	1937.737523	67.47636364	72.78	0.001
