Epoch	train_ce_loss	val_ce_loss	train_accuracy	val_accuracy	learning_rate
0	22815.99567	2115.921231	22.2	22.08	0.001
1	35026.06949	3254.585512	27.35090909	26.46	0.001
2	44153.87348	4079.188462	32.09636364	31.88	0.001
3	49126.94933	4524.598097	38.86545455	38.52	0.001
4	48511.85603	4452.915185	44.44727273	43.92	0.001
5	45304.8463	4146.623478	48.34545455	47.96	0.001
6	41867.40298	3820.499403	54.32727273	54.8	0.001
7	39197.63205	3576.504985	52.61090909	52.14	0.001
8	37385.56648	3391.412784	61.42	62.08	0.001
9	35839.74963	3259.769748	53.20727273	52.14	0.001
10	35399.71686	3203.355529	63.42909091	64.34	0.001
11	35660.93337	3238.877371	55.94727273	55.68	0.001
12	32039.32911	2887.147739	64.44545455	65.46	0.001
13	36189.49226	3291.009117	57.36545455	57.08	0.001
14	28790.24684	2580.243999	66.30545455	67.42	0.001
15	36680.87013	3345.780562	59.10909091	58.54	0.001
16	26723.45576	2383.10979	67.57636364	68.84	0.001
17	36979.38563	3378.170462	62.03636364	62.16	0.001
18	25320.81321	2250.510948	66.95636364	68.64	0.001
19	37836.68172	3454.281676	64.43454545	64.76	0.001
20	25089.15373	2227.839799	67.27090909	68.48	0.001
21	37422.30352	3408.686481	65.78181818	65.98	0.001
22	24446.61557	2166.652216	68.38	69.62	0.001
23	36777.80999	3347.777879	66.53818182	66.7	0.001
24	24022.43708	2126.550098	69.32181818	70.34	0.001
25	36335.37906	3306.053198	67.09636364	67.24	0.001
26	23693.37068	2096.844565	69.78	70.82	0.001
27	35702.10803	3245.020876	67.78363636	68.04	0.001
28	23259.89551	2058.470038	70.17090909	71.38	0.001
29	35423.29178	3216.353321	68.20909091	68.3	0.001
30	22917.5634	2026.765791	70.44727273	71.74	0.001
31	35238.18906	3195.988308	68.85818182	68.7	0.001
32	22542.18071	1991.237668	70.8	71.6	0.001
33	34847.73018	3154.542551	69.39818182	69.18	0.001
34	21970.70715	1936.749607	71.27090909	72.14	0.001
35	34647.3896	3135.69021	69.62727273	69.56	0.001
36	21251.27243	1868.760913	71.73090909	72.52	0.001
37	34500.34642	3120.712276	70.12545455	70.2	0.001
38	20427.97329	1790.057198	71.94181818	72.46	0.001
39	34347.16317	3104.948985	70.44909091	70.58	0.001
40	19494.78772	1699.903496	72.51090909	72.94	0.001
41	34481.22257	3121.584716	69.59090909	69.72	0.001
42	18642.62982	1617.492315	73.22727273	73.58	0.001
43	34312.57557	3109.045728	69.80545455	70.02	0.001
44	17967.64293	1555.206652	73.37636364	73.58	0.001
45	33812.27321	3062.21504	70.41636364	70.96	0.001
46	17443.93255	1507.1087	73.61272727	73.92	0.001
47	33220.74967	3006.572249	70.76181818	71.22	0.001
48	16921.26563	1460.358311	73.68363636	74.08	0.001
49	33004.87431	2984.295292	72.25818182	72.92	0.001
50	16207.04448	1394.117408	74.66727273	74.96	0.001
